0.001	1.07484e-14	6.61427e-12	-4.78273e-09	1.93145e-09	1.84209e-08	3.90346e-10
0.00205	2.64747e-14	1.90186e-11	-3.75157e-09	-4.92404e-09	4.04079e-08	-9.7472e-09
0.0031525	3.67654e-14	2.84649e-11	-8.98549e-09	-6.47988e-10	4.11783e-08	-3.49335e-09
0.00431013	6.55537e-14	5.34795e-11	5.19606e-10	-9.75995e-09	5.29939e-08	-3.1495e-09
0.00552563	6.79437e-14	6.86666e-11	8.09548e-09	-5.18767e-09	3.63446e-08	5.6396e-09
0.00680191	1.15272e-13	1.07762e-10	-1.87631e-08	-1.23861e-08	8.48046e-08	-4.54992e-10
0.00814201	7.67056e-14	1.05733e-10	1.47746e-08	-9.48224e-09	9.32378e-09	1.79381e-09
0.00954911	1.10965e-13	1.41138e-10	7.37768e-09	1.28845e-09	4.38554e-08	-3.37002e-09
0.0110266	1.87936e-13	1.96142e-10	-8.4994e-09	-9.14583e-09	8.65384e-08	-1.89868e-09
0.0125779	2.52018e-13	2.64576e-10	-1.27208e-09	-6.1837e-09	4.25973e-08	-1.14082e-09
0.0142068	3.56267e-13	3.60085e-10	-1.87e-08	-2.30657e-08	1.08801e-07	-1.27412e-08
0.0159171	1.93649e-13	2.79882e-10	-1.48923e-08	1.44698e-09	1.88659e-08	-2.13739e-08
0.017713	2.52119e-13	3.45883e-10	8.56852e-09	-1.05536e-08	-9.77426e-09	-1.79432e-08
0.0195986	2.97715e-13	4.22989e-10	-1.83298e-08	6.15278e-09	1.09473e-08	-1.06304e-09
0.0215786	4.25353e-13	5.37884e-10	-1.17711e-08	9.28748e-10	5.13431e-08	5.91569e-09
0.0236575	3.56922e-13	5.38166e-10	-2.18628e-10	9.6111e-09	-1.11878e-08	-5.33144e-10
0.0258404	4.07877e-13	6.36021e-10	-6.57285e-09	-2.29972e-09	-1.38863e-08	-6.11537e-09
0.0281324	5.64292e-13	7.63226e-10	-2.89128e-08	-1.27246e-08	4.23319e-08	-9.17765e-09
0.030539	5.20433e-13	8.25014e-10	-1.83444e-08	1.26473e-08	-1.05107e-08	-4.15931e-09
0.033066	6.76027e-13	9.57748e-10	-2.48352e-08	-5.10855e-10	1.05325e-08	-1.80899e-09
0.0357193	7.47126e-13	1.11422e-09	4.80223e-09	-1.77334e-09	3.61826e-08	-3.09362e-10
0.0385052	7.37484e-13	1.21476e-09	-6.99779e-09	2.01534e-08	-2.66823e-08	1.06681e-08
