1	10	-1	-1	-1	-1
2	0	11	10	-1	-1
3	1	12	11	-1	-1
4	2	13	12	-1	-1
5	3	14	13	-1	-1
6	4	15	14	-1	-1
7	5	16	15	-1	-1
8	6	17	16	-1	-1
9	7	18	17	-1	-1
8	18	-1	-1	-1	-1
11	21	1	0	-1	-1
12	10	22	21	2	1
13	11	23	22	3	2
14	12	24	23	4	3
15	13	25	24	5	4
16	14	26	25	6	5
17	15	27	26	7	6
18	16	28	27	8	7
19	17	29	28	9	8
18	29	9	-1	-1	-1
21	30	10	-1	-1	-1
22	20	31	30	11	10
23	21	32	31	12	11
24	22	33	32	13	12
25	23	34	33	14	13
26	24	35	34	15	14
27	25	36	35	16	15
28	26	37	36	17	16
29	27	38	37	18	17
28	38	18	-1	-1	-1
31	41	21	20	-1	-1
32	30	42	41	22	21
33	31	43	42	23	22
34	32	44	43	24	23
35	33	45	44	25	24
36	34	46	45	26	25
37	35	47	46	27	26
38	36	48	47	28	27
39	37	49	48	29	28
38	49	29	-1	-1	-1
41	50	30	-1	-1	-1
42	40	51	50	31	30
43	41	52	51	32	31
44	42	53	52	33	32
45	43	54	53	34	33
46	44	55	54	35	34
47	45	56	55	36	35
48	46	57	56	37	36
49	47	58	57	38	37
48	58	38	-1	-1	-1
51	61	41	40	-1	-1
52	50	62	61	42	41
53	51	63	62	43	42
54	52	64	63	44	43
55	53	65	64	45	44
56	54	66	65	46	45
57	55	67	66	47	46
58	56	68	67	48	47
59	57	69	68	49	48
58	69	49	-1	-1	-1
61	70	50	-1	-1	-1
62	60	71	70	51	50
63	61	72	71	52	51
64	62	73	72	53	52
65	63	74	73	54	53
66	64	75	74	55	54
67	65	76	75	56	55
68	66	77	76	57	56
69	67	78	77	58	57
68	78	58	-1	-1	-1
71	81	61	60	-1	-1
72	70	82	81	62	61
73	71	83	82	63	62
74	72	84	83	64	63
75	73	85	84	65	64
76	74	86	85	66	65
77	75	87	86	67	66
78	76	88	87	68	67
79	77	89	88	69	68
78	89	69	-1	-1	-1
81	90	70	-1	-1	-1
82	80	91	90	71	70
83	81	92	91	72	71
84	82	93	92	73	72
85	83	94	93	74	73
86	84	95	94	75	74
87	85	96	95	76	75
88	86	97	96	77	76
89	87	98	97	78	77
88	98	78	-1	-1	-1
91	81	80	-1	-1	-1
92	90	82	81	-1	-1
93	91	83	82	-1	-1
94	92	84	83	-1	-1
95	93	85	84	-1	-1
96	94	86	85	-1	-1
97	95	87	86	-1	-1
98	96	88	87	-1	-1
99	97	89	88	-1	-1
98	89	-1	-1	-1	-1
